ZIP Code,Week Number,Week Start,Week End,Cases - Weekly,Cases - Cumulative,Case Rate - Weekly,Case Rate - Cumulative,Tests - Weekly,Tests - Cumulative,Test Rate - Weekly,Test Rate - Cumulative,Percent Tested Positive - Weekly,Percent Tested Positive - Cumulative,Deaths - Weekly,Deaths - Cumulative,Death Rate - Weekly,Death Rate - Cumulative,Population,Row ID,ZIP Code Location
60610,37,09/06/2020,09/12/2020,35,595,90,1524.9,809,13701,2073,35113.7,0.1,0.0,0,10,0.0,25.6,39019,60610-2020-37,POINT (-87.63581 41.90455)
60610,10,03/07/2021,03/13/2021,55,3023,141,7747.5,1623,57874,4160,148322.6,0.0,0.1,1,31,2.6,79.4,39019,60610-2021-10,POINT (-87.63581 41.90455)
60610,37,09/12/2021,09/18/2021,34,4141,87,10612.8,2276,99397,5833,254740,0.0,0.0,0,33,0.0,84.6,39019,60610-2021-37,POINT (-87.63581 41.90455)
60610,46,11/14/2021,11/20/2021,74,4529,190,11607.2,2479,119348,6353,305871.5,0.0,0.0,0,34,0.0,87.1,39019,60610-2021-46,POINT (-87.63581 41.90455)
60604,33,08/15/2021,08/21/2021,3,117,384,14961.6,257,6689,32864,855370.8,0.0,0.0,0,0,0.0,0.0,782,60604-2021-33,POINT (-87.629029 41.878153)
60603,12,03/21/2021,03/27/2021,4,72,341,6132.9,72,2107,6133,179471.9,0.1,0.0,0,0,0.0,0.0,1174,60603-2021-12,POINT (-87.625473 41.880112)
60603,13,03/28/2021,04/03/2021,0,72,0,6132.9,80,2187,6814,186286.2,0.0,0.0,0,0,0.0,0.0,1174,60603-2021-13,POINT (-87.625473 41.880112)
60603,28,07/11/2021,07/17/2021,0,81,0,6899.5,56,3140,4770,267461.7,0.0,0.0,0,0,0.0,0.0,1174,60603-2021-28,POINT (-87.625473 41.880112)
60604,34,08/22/2021,08/28/2021,1,118,128,15089.5,304,6993,38875,894245.5,0.0,0.0,0,0,0.0,0.0,782,60604-2021-34,POINT (-87.629029 41.878153)
60604,35,08/29/2021,09/04/2021,1,119,128,15217.4,264,7257,33760,928005.1,0.0,0.0,0,0,0.0,0.0,782,60604-2021-35,POINT (-87.629029 41.878153)
60604,36,09/05/2021,09/11/2021,1,120,128,15345.3,253,7510,32353,960358.1,0.0,0.0,0,0,0.0,0.0,782,60604-2021-36,POINT (-87.629029 41.878153)
60606,37,09/06/2020,09/12/2020,1,66,32,2128.3,128,2384,4128,76878.4,0.0,0.1,0,1,0.0,32.2,3101,60606-2020-37,POINT (-87.63676 41.882634)
60603,14,04/04/2021,04/10/2021,2,74,170,6303.2,81,2268,6900,193185.7,0.0,0.0,0,0,0.0,0.0,1174,60603-2021-14,POINT (-87.625473 41.880112)
60603,15,04/11/2021,04/17/2021,2,76,170,6473.6,105,2373,8944,202129.5,0.0,0.0,0,0,0.0,0.0,1174,60603-2021-15,POINT (-87.625473 41.880112)
60607,49,11/29/2020,12/05/2020,97,1669,328,5640.2,1673,28838,5654,97455.3,0.1,0.1,0,5,0.0,16.9,29591,60607-2020-49,POINT (-87.652727 41.876104)
60611,28,07/05/2020,07/11/2020,27,224,83,690.8,815,5706,2513,17597,0.0,0.1,0,3,0.0,9.3,32426,60611-2020-28,POINT (-87.620291 41.894734)
60607,14,04/04/2021,04/10/2021,75,2552,254,8624.2,1817,58486,6140,197647.9,0.0,0.0,0,8,0.0,27.0,29591,60607-2021-14,POINT (-87.652727 41.876104)
60610,8,02/21/2021,02/27/2021,49,2936,126,7524.5,1530,54662,3921,140090.7,0.0,0.1,0,30,0.0,76.9,39019,60610-2021-8,POINT (-87.63581 41.90455)
60610,9,02/28/2021,03/06/2021,32,2968,82,7606.6,1589,56251,4072,144163.1,0.0,0.1,0,30,0.0,76.9,39019,60610-2021-9,POINT (-87.63581 41.90455)
60611,29,07/12/2020,07/18/2020,18,242,56,746.3,723,6429,2230,19826.7,0.0,0.0,0,3,0.0,9.3,32426,60611-2020-29,POINT (-87.620291 41.894734)
60611,30,07/19/2020,07/25/2020,24,266,74,820.3,768,7197,2368,22195.2,0.0,0.0,0,3,0.0,9.3,32426,60611-2020-30,POINT (-87.620291 41.894734)
60611,40,09/27/2020,10/03/2020,28,494,86,1523.5,924,15110,2850,46598.4,0.0,0.0,0,4,0.0,12.3,32426,60611-2020-40,POINT (-87.620291 41.894734)
60611,1,01/03/2021,01/09/2021,82,1743,253,5375.3,1618,35006,4990,107956.6,0.0,0.1,0,11,0.0,33.9,32426,60611-2021-1,POINT (-87.620291 41.894734)
60607,52,12/20/2020,12/26/2020,59,1866,199,6306,1564,34063,5285,115112.7,0.0,0.0,0,5,0.0,16.9,29591,60607-2020-52,POINT (-87.652727 41.876104)
60611,12,03/21/2021,03/27/2021,48,2098,148,6470.1,1080,47501,3331,146490.5,0.0,0.0,0,15,0.0,46.3,32426,60611-2021-12,POINT (-87.620291 41.894734)
60611,17,04/25/2021,05/01/2021,38,2288,117,7056.1,1262,53730,3892,165700.4,0.0,0.0,0,15,0.0,46.3,32426,60611-2021-17,POINT (-87.620291 41.894734)
60611,19,05/09/2021,05/15/2021,4,2304,12,7105.4,980,55855,3022,172253.7,0.0,0.0,0,16,0.0,49.3,32426,60611-2021-19,POINT (-87.620291 41.894734)
60611,33,08/15/2021,08/21/2021,39,2536,120,7820.9,1464,70139,4515,216304.8,0.0,0.0,0,19,0.0,58.6,32426,60611-2021-33,POINT (-87.620291 41.894734)
60611,4,01/24/2021,01/30/2021,33,1879,102,5794.7,1178,38550,3633,118886.1,0.0,0.1,0,12,0.0,37.0,32426,60611-2021-4,POINT (-87.620291 41.894734)
60611,44,10/31/2021,11/06/2021,34,2846,105,8776.9,1724,88718,5317,273601.4,0.0,0.0,0,19,0.0,58.6,32426,60611-2021-44,POINT (-87.620291 41.894734)
60611,46,11/14/2021,11/20/2021,42,2926,130,9023.6,1897,92519,5850,285323.5,0.0,0.0,0,19,0.0,58.6,32426,60611-2021-46,POINT (-87.620291 41.894734)
60611,6,02/07/2021,02/13/2021,18,1927,56,5942.8,1097,40814,3383,125868.1,0.0,0.1,0,13,0.0,40.1,32426,60611-2021-6,POINT (-87.620291 41.894734)
60612,33,08/15/2021,08/21/2021,44,3868,128,11273.4,1373,95884,4002,279455.6,0.0,0.0,0,70,0.0,204.0,34311,60612-2021-33,POINT (-87.687011 41.88004)
60612,34,08/22/2021,08/28/2021,48,3916,140,11413.2,1357,97241,3955,283410.6,0.0,0.0,0,70,0.0,204.0,34311,60612-2021-34,POINT (-87.687011 41.88004)
60612,36,09/05/2021,09/11/2021,40,3997,117,11649.3,1375,99840,4008,290985.4,0.0,0.0,0,71,0.0,206.9,34311,60612-2021-36,POINT (-87.687011 41.88004)
60612,37,09/12/2021,09/18/2021,55,4052,160,11809.6,1895,101735,5523,296508.4,0.0,0.0,2,73,5.8,212.8,34311,60612-2021-37,POINT (-87.687011 41.88004)
60612,40,10/03/2021,10/09/2021,29,4129,84,12034,2133,107885,6217,314432.7,0.0,0.0,0,73,0.0,212.8,34311,60612-2021-40,POINT (-87.687011 41.88004)
60612,46,11/14/2021,11/20/2021,50,4349,146,12675.2,2572,121731,7496,354787.1,0.0,0.0,1,76,2.9,221.5,34311,60612-2021-46,POINT (-87.687011 41.88004)
60613,20,05/10/2020,05/16/2020,15,338,30,674.5,298,1685,595,3362.4,0.1,0.2,3,23,6.0,45.9,50113,60613-2020-20,POINT (-87.661343 41.953742)
60613,30,07/19/2020,07/25/2020,28,544,56,1085.5,966,9071,1928,18101.1,0.0,0.1,0,31,0.0,61.9,50113,60613-2020-30,POINT (-87.661343 41.953742)
60613,36,08/30/2020,09/05/2020,38,723,76,1442.7,1202,15716,2399,31361.1,0.0,0.0,0,31,0.0,61.9,50113,60613-2020-36,POINT (-87.661343 41.953742)
60613,37,09/06/2020,09/12/2020,19,742,38,1480.7,1040,16756,2075,33436.4,0.0,0.0,0,31,0.0,61.9,50113,60613-2020-37,POINT (-87.661343 41.953742)
60613,38,09/13/2020,09/19/2020,48,790,96,1576.4,1173,17929,2341,35777.1,0.0,0.0,0,31,0.0,61.9,50113,60613-2020-38,POINT (-87.661343 41.953742)
60613,43,10/18/2020,10/24/2020,114,1160,228,2314.8,2127,26681,4244,53241.7,0.1,0.0,0,33,0.0,65.9,50113,60613-2020-43,POINT (-87.661343 41.953742)
60613,46,11/08/2020,11/14/2020,295,1835,589,3661.7,2726,34172,5440,68189.9,0.1,0.1,0,34,0.0,67.8,50113,60613-2020-46,POINT (-87.661343 41.953742)
60603,16,04/18/2021,04/24/2021,1,77,85,6558.8,89,2462,7581,209710.4,0.0,0.0,0,0,0.0,0.0,1174,60603-2021-16,POINT (-87.625473 41.880112)
60603,17,04/25/2021,05/01/2021,0,77,0,6558.8,90,2552,7666,217376.5,0.0,0.0,0,0,0.0,0.0,1174,60603-2021-17,POINT (-87.625473 41.880112)
60613,14,04/04/2021,04/10/2021,94,3737,188,7457.1,2143,81561,4276,162754.2,0.0,0.0,1,47,2.0,93.8,50113,60613-2021-14,POINT (-87.661343 41.953742)
60618,27,06/28/2020,07/04/2020,37,1459,39,1545.6,1516,12756,1606,13513.4,0.0,0.1,0,49,0.0,51.9,94395,60618-2020-27,POINT (-87.703343 41.946699)
60618,28,07/05/2020,07/11/2020,43,1502,46,1591.2,1708,14464,1809,15322.8,0.0,0.1,1,50,1.1,53.0,94395,60618-2020-28,POINT (-87.703343 41.946699)
60613,19,05/09/2021,05/15/2021,18,3934,36,7850.3,1740,91145,3472,181879,0.0,0.0,0,49,0.0,97.8,50113,60613-2021-19,POINT (-87.661343 41.953742)
60601,12,03/21/2021,03/27/2021,29,1000,198,6814.3,616,23040,4198,157001.7,0.1,0.0,0,11,0.0,75.0,14675,60601-2021-12,POINT (-87.622844 41.886262)
60601,31,08/01/2021,08/07/2021,16,1152,109,7850.1,785,34403,5349,234432.7,0.0,0.0,0,12,0.0,81.8,14675,60601-2021-31,POINT (-87.622844 41.886262)
60601,33,08/15/2021,08/21/2021,20,1188,136,8095.4,1234,36492,8409,248667.8,0.0,0.0,0,12,0.0,81.8,14675,60601-2021-33,POINT (-87.622844 41.886262)
60604,37,09/12/2021,09/18/2021,1,121,128,15473.1,290,7800,37084,997442.5,0.0,0.0,0,0,0.0,0.0,782,60604-2021-37,POINT (-87.629029 41.878153)
60604,38,09/19/2021,09/25/2021,0,121,0,15473.1,159,7959,20332,1017775,0.0,0.0,0,0,0.0,0.0,782,60604-2021-38,POINT (-87.629029 41.878153)
60605,2,01/10/2021,01/16/2021,55,1544,200,5610.7,1146,29456,4164,107038.8,0.1,0.1,1,10,3.6,36.3,27519,60605-2021-2,POINT (-87.623449 41.867824)
60613,20,05/16/2021,05/22/2021,5,3939,10,7860.2,1646,92791,3285,185163.5,0.0,0.0,0,49,0.0,97.8,50113,60613-2021-20,POINT (-87.661343 41.953742)
60607,39,09/20/2020,09/26/2020,40,749,135,2531.2,1311,12483,4430,42185.1,0.0,0.0,0,4,0.0,13.5,29591,60607-2020-39,POINT (-87.652727 41.876104)
60607,41,10/04/2020,10/10/2020,34,801,115,2706.9,1211,14920,4092,50420.7,0.0,0.0,0,4,0.0,13.5,29591,60607-2020-41,POINT (-87.652727 41.876104)
60607,43,10/18/2020,10/24/2020,84,943,284,3186.8,1412,17645,4772,59629.6,0.1,0.0,0,4,0.0,13.5,29591,60607-2020-43,POINT (-87.652727 41.876104)
60607,46,11/08/2020,11/14/2020,166,1367,561,4619.6,2236,23458,7556,79274.1,0.1,0.0,0,4,0.0,13.5,29591,60607-2020-46,POINT (-87.652727 41.876104)
60607,15,04/11/2021,04/17/2021,48,2600,162,8786.5,1733,60219,5856,203504.4,0.0,0.0,0,8,0.0,27.0,29591,60607-2021-15,POINT (-87.652727 41.876104)
60607,16,04/18/2021,04/24/2021,34,2634,115,8901.4,1685,61904,5694,209198.7,0.0,0.0,0,8,0.0,27.0,29591,60607-2021-16,POINT (-87.652727 41.876104)
60608,16,04/18/2021,04/24/2021,68,7924,86,10004.4,2305,102266,2910,129115.6,0.0,0.1,0,138,0.0,174.2,79205,60608-2021-16,POINT (-87.670366 41.849879)
60609,46,11/08/2020,11/14/2020,452,4095,735,6659.1,2631,35836,4278,58274.7,0.2,0.1,1,89,1.6,144.7,61495,60609-2020-46,POINT (-87.653382 41.812017)
60609,50,12/06/2020,12/12/2020,270,5279,439,8584.4,2374,45190,3860,73485.6,0.1,0.1,5,107,8.1,174.0,61495,60609-2020-50,POINT (-87.653382 41.812017)
60609,52,12/20/2020,12/26/2020,136,5607,221,9117.8,1611,48882,2620,79489.4,0.1,0.1,2,115,3.3,187.0,61495,60609-2020-52,POINT (-87.653382 41.812017)
60613,22,05/30/2021,06/05/2021,3,3945,6,7872.2,1230,95404,2454,190377.7,0.0,0.0,1,51,2.0,101.8,50113,60613-2021-22,POINT (-87.661343 41.953742)
60613,23,06/06/2021,06/12/2021,4,3949,8,7880.2,1330,96734,2654,193031.7,0.0,0.0,0,51,0.0,101.8,50113,60613-2021-23,POINT (-87.661343 41.953742)
60613,24,06/13/2021,06/19/2021,3,3952,6,7886.2,1213,97947,2420,195452.3,0.0,0.0,0,51,0.0,101.8,50113,60613-2021-24,POINT (-87.661343 41.953742)
60613,27,07/04/2021,07/10/2021,7,3966,14,7914.1,1208,101506,2411,202554.2,0.0,0.0,0,51,0.0,101.8,50113,60613-2021-27,POINT (-87.661343 41.953742)
60613,29,07/18/2021,07/24/2021,35,4024,70,8029.9,1685,104659,3362,208846,0.0,0.0,0,51,0.0,101.8,50113,60613-2021-29,POINT (-87.661343 41.953742)
60613,31,08/01/2021,08/07/2021,61,4117,122,8215.4,2355,108743,4699,216995.6,0.0,0.0,0,51,0.0,101.8,50113,60613-2021-31,POINT (-87.661343 41.953742)
60613,32,08/08/2021,08/14/2021,84,4201,168,8383.1,2465,111208,4919,221914.5,0.0,0.0,0,51,0.0,101.8,50113,60613-2021-32,POINT (-87.661343 41.953742)
60613,46,11/14/2021,11/20/2021,74,4862,148,9702.1,3160,146021,6306,291383.5,0.0,0.0,0,53,0.0,105.8,50113,60613-2021-46,POINT (-87.661343 41.953742)
60614,27,06/28/2020,07/04/2020,50,617,70,865.3,1550,8458,2174,11861.2,0.0,0.1,3,68,4.2,95.4,71308,60614-2020-27,POINT (-87.652064 41.922605)
60614,28,07/05/2020,07/11/2020,44,661,62,927,1783,10241,2500,14361.6,0.0,0.1,1,69,1.4,96.8,71308,60614-2020-28,POINT (-87.652064 41.922605)
60614,29,07/12/2020,07/18/2020,33,694,46,973.2,1942,12183,2723,17085,0.0,0.1,1,70,1.4,98.2,71308,60614-2020-29,POINT (-87.652064 41.922605)
60614,30,07/19/2020,07/25/2020,42,736,59,1032.1,1487,13670,2085,19170.4,0.0,0.0,0,70,0.0,98.2,71308,60614-2020-30,POINT (-87.652064 41.922605)
60609,18,05/02/2021,05/08/2021,74,7292,120,11857.9,1448,77792,2355,126501.3,0.1,0.1,3,147,4.9,239.0,61495,60609-2021-18,POINT (-87.653382 41.812017)
60609,22,05/30/2021,06/05/2021,7,7406,11,12043.3,965,82498,1569,134154,0.0,0.1,2,155,3.3,252.1,61495,60609-2021-22,POINT (-87.653382 41.812017)
60609,25,06/20/2021,06/26/2021,6,7428,10,12079,943,85137,1534,138445.4,0.0,0.1,0,156,0.0,253.7,61495,60609-2021-25,POINT (-87.653382 41.812017)
60609,26,06/27/2021,07/03/2021,3,7431,5,12083.9,735,85872,1195,139640.6,0.0,0.1,0,156,0.0,253.7,61495,60609-2021-26,POINT (-87.653382 41.812017)
60609,27,07/04/2021,07/10/2021,3,7434,5,12088.8,953,86825,1550,141190.3,0.0,0.1,0,156,0.0,253.7,61495,60609-2021-27,POINT (-87.653382 41.812017)
60609,28,07/11/2021,07/17/2021,10,7444,16,12105,1007,87832,1638,142827.9,0.0,0.1,0,156,0.0,253.7,61495,60609-2021-28,POINT (-87.653382 41.812017)
60609,29,07/18/2021,07/24/2021,36,7480,58,12163.6,1230,89062,2000,144828,0.0,0.1,0,156,0.0,253.7,61495,60609-2021-29,POINT (-87.653382 41.812017)
60609,3,01/17/2021,01/23/2021,143,6265,232,10187.8,1794,56417,2917,91742.4,0.1,0.1,2,124,3.3,201.6,61495,60609-2021-3,POINT (-87.653382 41.812017)
60609,32,08/08/2021,08/14/2021,63,7607,102,12370.1,1729,93550,2812,152126.2,0.0,0.1,0,157,0.0,255.3,61495,60609-2021-32,POINT (-87.653382 41.812017)
60609,33,08/15/2021,08/21/2021,79,7686,128,12498.6,1760,95310,2862,154988.2,0.0,0.1,0,157,0.0,255.3,61495,60609-2021-33,POINT (-87.653382 41.812017)
